Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3724440.00,,Fountain town,147,Pitt
3724520.00,,Four Oaks town,101,Johnston
3724570.00,,Foxfire village,125,Moore
3724640.00,,Franklin town,113,Macon
3724720.00,,Franklinton town,69,Franklin
3724740.00,,Franklinville town,151,Randolph
3724900.00,,Fremont town,191,Wayne
3725020.00,,Frisco CDP,55,Dare
3725160.00,,Fruitland CDP,89,Henderson
3725300.00,,Fuquay-Varina town,183,Wake
3725380.00,,Gamewell town,27,Caldwell
3725460.00,,Garland town,163,Sampson
3725480.00,,Garner town,183,Wake
3725540.00,,Garysburg town,131,Northampton
3725560.00,,Gaston town,131,Northampton
3725580.00,,Gastonia city,71,Gaston
3725680.00,,Gatesville town,73,Gates
3725880.00,,Germanton CDP,"67, 169","Forsyth, Stokes"
3725900.00,,Gerton CDP,89,Henderson
3725940.00,,Gibson town,165,Scotland
3725980.00,,Gibsonville town,"1, 81","Alamance, Guilford"
3726200.00,,Glen Alpine town,23,Burke
3726460.00,,Glen Raven CDP,1,Alamance
3726520.00,,Glenville CDP,99,Jackson
3726560.00,,Glenwood CDP,111,McDowell
3726680.00,,Gloucester CDP,31,Carteret
3726740.00,,Godwin town,51,Cumberland
3726800.00,,Gold Hill CDP,159,Rowan
3726880.00,,Goldsboro city,191,Wayne
3726920.00,,Goldston town,37,Chatham
3727120.00,,Gorman CDP,63,Durham
3727180.00,,Governors Club CDP,37,Chatham
3727182.00,,Governors Village CDP,37,Chatham
3727280.00,,Graham city,1,Alamance
3727300.00,,Graingers CDP,107,Lenoir
3727324.00,,Grandfather Village village,11,Avery
3727400.00,,Grandy CDP,53,Currituck
3727420.00,,Granite Falls town,27,Caldwell
3727440.00,,Granite Quarry town,159,Rowan
3727520.00,,Grantsboro town,137,Pamlico
3727780.00,,Greenevers town,61,Duplin
3727870.00,,Green Level town,1,Alamance
3728000.00,,Greensboro city,81,Guilford
3728080.00,,Greenville city,147,Pitt
3728200.00,,Grifton town,"147, 107","Pitt, Lenoir"
3728240.00,,Grimesland town,147,Pitt
3728400.00,,Grover town,45,Cleveland
3728600.00,,Gulf CDP,37,Chatham
3728900.00,,Half Moon CDP,133,Onslow
3728920.00,,Halifax town,83,Halifax
3729000.00,,Hallsboro CDP,47,Columbus
3729120.00,,Hamilton town,117,Martin
3729160.00,,Hamlet city,153,Richmond
3729180.00,,Hampstead CDP,141,Pender
